plate_id,well_id,drug_name,concentration_um,is_control,total_points,baseline_points,baseline_duration_hours,baseline_type,low_points,high_noise,sensor_drift,baseline_unstable,mean_o2,std_o2,cv_o2,baseline_mean,baseline_std
06e6ebb9-f553-48e8-a894-c3d02328f599,06e6ebb9-f553-48e8-a894-c3d02328f599_1,Sunitinib,0.0,True,286,77,89.13333333333334,pre_dosing,False,False,False,False,-4.888287,2.3700716,-0.48484707,-4.9285712242126465,2.847649335861206
06e6ebb9-f553-48e8-a894-c3d02328f599,06e6ebb9-f553-48e8-a894-c3d02328f599_2,Sunitinib,0.0,True,216,77,89.10000000000001,pre_dosing,False,False,False,False,-3.0469909,4.6132975,-1.5140504,-3.6759743690490723,5.441244602203369
06e6ebb9-f553-48e8-a894-c3d02328f599,06e6ebb9-f553-48e8-a894-c3d02328f599_3,Lenvatinib,0.0,True,166,73,83.05000000000001,pre_dosing,False,False,False,False,-2.9051204,4.050491,-1.3942592,-2.917123317718506,5.280961990356445
06e6ebb9-f553-48e8-a894-c3d02328f599,06e6ebb9-f553-48e8-a894-c3d02328f599_4,Lenvatinib,0.0,True,282,77,89.08333333333334,pre_dosing,False,False,False,False,-4.4363475,4.6627584,-1.0510354,-4.409090995788574,7.042300224304199
06e6ebb9-f553-48e8-a894-c3d02328f599,06e6ebb9-f553-48e8-a894-c3d02328f599_5,Axitinib,0.0,True,286,77,89.10000000000001,pre_dosing,False,False,False,False,-4.4888115,3.0095341,-0.67045236,-4.261038780212402,3.4919514656066895
06e6ebb9-f553-48e8-a894-c3d02328f599,06e6ebb9-f553-48e8-a894-c3d02328f599_6,Axitinib,0.0,True,286,77,89.10000000000001,pre_dosing,False,False,False,False,-3.5543704,4.4607534,-1.2550052,-4.327272891998291,5.32403039932251
06e6ebb9-f553-48e8-a894-c3d02328f599,06e6ebb9-f553-48e8-a894-c3d02328f599_7,Ponatinib,0.0,True,131,58,69.23333333333333,pre_dosing,False,False,False,False,-2.3572521,5.7735076,-2.4492533,-0.8474138975143433,7.868326663970947
06e6ebb9-f553-48e8-a894-c3d02328f599,06e6ebb9-f553-48e8-a894-c3d02328f599_8,Ponatinib,0.0,True,284,77,89.10000000000001,pre_dosing,False,False,False,False,-4.2125,3.8721292,-0.91919976,-4.101948261260986,5.990773677825928
06e6ebb9-f553-48e8-a894-c3d02328f599,06e6ebb9-f553-48e8-a894-c3d02328f599_10,Vemurafenib,0.0,True,287,77,89.10000000000001,pre_dosing,False,False,False,False,-2.9374566,2.472697,-0.8417816,-2.8818182945251465,3.572960376739502
06e6ebb9-f553-48e8-a894-c3d02328f599,06e6ebb9-f553-48e8-a894-c3d02328f599_12,Infigratinib,0.0,True,287,77,89.10000000000001,pre_dosing,False,False,False,False,-4.6141114,4.0563774,-0.8791243,-4.476623058319092,5.764452934265137
06e6ebb9-f553-48e8-a894-c3d02328f599,06e6ebb9-f553-48e8-a894-c3d02328f599_13,Cobimetinib,0.0,True,287,77,89.10000000000001,pre_dosing,False,False,False,False,-2.9277003,7.463219,-2.5491745,-4.763636112213135,5.56831169128418
06e6ebb9-f553-48e8-a894-c3d02328f599,06e6ebb9-f553-48e8-a894-c3d02328f599_14,Cobimetinib,0.0,True,287,77,89.10000000000001,pre_dosing,False,False,False,False,-5.433972,2.9715207,-0.5468414,-5.138961315155029,4.364612579345703
06e6ebb9-f553-48e8-a894-c3d02328f599,06e6ebb9-f553-48e8-a894-c3d02328f599_15,Tazemetostat,0.0,True,287,77,89.10000000000001,pre_dosing,False,False,False,False,-3.920383,4.2361736,-1.080551,-3.875974178314209,5.943586349487305
06e6ebb9-f553-48e8-a894-c3d02328f599,06e6ebb9-f553-48e8-a894-c3d02328f599_16,Tazemetostat,0.0,True,287,77,89.10000000000001,pre_dosing,False,False,False,False,-3.3937283,5.335548,-1.5721788,-3.905844211578369,6.56282377243042
